Interactor1	Interactor2	Interaction
P08238	P13473	R-HSA-9626026
P13473	P13473	R-HSA-9626026
P07900	P08238	R-HSA-9625170
Q13099	Q9UBN7	R-HSA-9625170
P07900	P13569	R-HSA-9625170
Q13099	O60664	R-HSA-9625170
P08238	Q13099	R-HSA-9625170
Q13099	P13569	R-HSA-9625170
O95613	Q99497	R-HSA-9625170
P07900	P68871	R-HSA-9625170
Q3SXY8	Q99497	R-HSA-9625170
P07900	Q12798	R-HSA-9625170
P08238	O95613	R-HSA-9625170
P08238	P08238	R-HSA-9625170
P68871	Q12798	R-HSA-9625170
O95613	O60664	R-HSA-9625170
P13473	P13473	R-HSA-9625170
Q3SXY8	Q9UBN7	R-HSA-9625170
Q3SXY8	P13569	R-HSA-9625170
P07900	Q99497	R-HSA-9625170
Q99497	Q99497	R-HSA-9625170
P13473	Q13099	R-HSA-9625170
Q13099	Q13099	R-HSA-9625170
Q12798	P08670	R-HSA-9625170
P08238	Q99497	R-HSA-9625170
Q12798	P07998	R-HSA-9625170
P13569	Q99497	R-HSA-9625170
Q3SXY8	O60664	R-HSA-9625170
O95613	Q13099	R-HSA-9625170
Q13099	Q99497	R-HSA-9625170
P13473	Q9UBN7	R-HSA-9625170
O95613	Q3SXY8	R-HSA-9625170
P13473	P08670	R-HSA-9625170
P08670	Q99541	R-HSA-9625170
P07900	P13473	R-HSA-9625170
Q99541	P07998	R-HSA-9625170
Q99497	O60664	R-HSA-9625170
Q13099	Q3SXY8	R-HSA-9625170
Q9UBN7	Q99541	R-HSA-9625170
P13473	O95613	R-HSA-9625170
P68871	P07998	R-HSA-9625170
P07900	Q13099	R-HSA-9625170
P68871	Q99497	R-HSA-9625170
P08238	P13473	R-HSA-9625170
P68871	O60664	R-HSA-9625170
P08238	Q3SXY8	R-HSA-9625170
P13569	Q9UBN7	R-HSA-9625170
P68871	O95613	R-HSA-9625170
P07900	Q99541	R-HSA-9625170
Q99497	P08670	R-HSA-9625170
P13569	P08670	R-HSA-9625170
Q99497	P07998	R-HSA-9625170
Q3SXY8	P07998	R-HSA-9625170
O95613	O95613	R-HSA-9625170
P08238	P68871	R-HSA-9625170
P07900	P07900	R-HSA-9625170
P07900	O60664	R-HSA-9625170
P13473	P07998	R-HSA-9625170
P68871	P68871	R-HSA-9625170
Q12798	Q13099	R-HSA-9625170
P07900	O95613	R-HSA-9625170
P68871	Q99541	R-HSA-9625170
P08670	O60664	R-HSA-9625170
P08238	P13569	R-HSA-9625170
Q3SXY8	P08670	R-HSA-9625170
Q12798	Q9UBN7	R-HSA-9625170
P13473	O60664	R-HSA-9625170
Q9UBN7	O60664	R-HSA-9625170
Q3SXY8	Q99541	R-HSA-9625170
P08238	Q12798	R-HSA-9625170
O95613	Q9UBN7	R-HSA-9625170
P13569	P13569	R-HSA-9625170
Q99541	O60664	R-HSA-9625170
P68871	P08670	R-HSA-9625170
P13569	O60664	R-HSA-9625170
Q12798	Q99497	R-HSA-9625170
Q99497	Q99541	R-HSA-9625170
P08238	O60664	R-HSA-9625170
P08238	Q99541	R-HSA-9625170
P07900	Q9UBN7	R-HSA-9625170
O60664	O60664	R-HSA-9625170
P68871	Q9UBN7	R-HSA-9625170
Q12798	O95613	R-HSA-9625170
P07900	P08670	R-HSA-9625170
P08238	P07998	R-HSA-9625170
Q13099	P07998	R-HSA-9625170
P13473	P13569	R-HSA-9625170
P13473	Q12798	R-HSA-9625170
Q9UBN7	P07998	R-HSA-9625170
Q9UBN7	P08670	R-HSA-9625170
P08670	P07998	R-HSA-9625170
Q13099	P08670	R-HSA-9625170
P13473	Q99541	R-HSA-9625170
Q99497	Q9UBN7	R-HSA-9625170
Q12798	Q99541	R-HSA-9625170
O95613	P07998	R-HSA-9625170
P13473	P68871	R-HSA-9625170
P07900	P07998	R-HSA-9625170
Q13099	Q99541	R-HSA-9625170
P08670	P08670	R-HSA-9625170
Q12798	Q3SXY8	R-HSA-9625170
P13569	P07998	R-HSA-9625170
Q12798	P13569	R-HSA-9625170
Q99541	Q99541	R-HSA-9625170
P08238	Q9UBN7	R-HSA-9625170
P08238	P08670	R-HSA-9625170
P68871	Q3SXY8	R-HSA-9625170
